id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
53,Lat Pulldown,warm-up,dumbbells,upper,push,"traps, biceps, lats","Lat Pulldown: Setup — Use dumbbells. Focus on push movement for upper. Engage traps, biceps, lats. Control breathing."
54,Seated Mountain Climber,cardio,resistance band,lower,pull,"hamstrings, glutes, calves","Seated Mountain Climber: Setup — Use resistance band. Focus on pull movement for lower. Engage hamstrings, glutes, calves. Control breathing."
55,Deficit Jump Rope,strength,rower,core,stretch,"obliques, abs, lower back","Deficit Jump Rope: Setup — Use rower. Focus on stretch movement for core. Engage obliques, abs, lower back. Control breathing."
56,Tempo Step-Up Series,mobility,kettlebells,core,hold,"obliques, lower back, abs","Tempo Step-Up Series: Setup — Use kettlebells. Focus on hold movement for core. Engage obliques, lower back, abs. Control breathing."
57,Tricep Extension Reach,warm-up,kettlebells,full body,push,"legs, back, core","Tricep Extension Reach: Setup — Use kettlebells. Focus on push movement for full body. Engage legs, back, core. Control breathing."
58,Tempo Face Pull Iso,strength,bike,core,push,"obliques, lower back, abs","Tempo Face Pull Iso: Setup — Use bike. Focus on push movement for core. Engage obliques, lower back, abs. Control breathing."
59,Copenhagen Dips,cardio,kettlebells,full body,pull,"legs, core, back","Copenhagen Dips: Setup — Use kettlebells. Focus on pull movement for full body. Engage legs, core, back. Control breathing."
60,Decline Lateral Raise,strength,cable machine,full body,hold,"chest, legs, core","Decline Lateral Raise: Setup — Use cable machine. Focus on hold movement for full body. Engage chest, legs, core. Control breathing."
61,Hip Thrust,mobility,rings,lower,push,"quads, hamstrings, glutes","Hip Thrust: Setup — Use rings. Focus on push movement for lower. Engage quads, hamstrings, glutes. Control breathing."
62,Standing Chest Fly March,strength,rings,full body,push,"back, chest, legs","Standing Chest Fly March: Setup — Use rings. Focus on push movement for full body. Engage back, chest, legs. Control breathing."
63,Running Iso,strength,dip belt,upper,pull,"lats, triceps, deltoids","Running Iso: Setup — Use dip belt. Focus on pull movement for upper. Engage lats, triceps, deltoids. Control breathing."
64,Decline Squat,mobility,treadmill,core,stretch,"obliques, lower back, abs","Decline Squat: Setup — Use treadmill. Focus on stretch movement for core. Engage obliques, lower back, abs. Control breathing."
65,Bench Press Rotation,warm-up,resistance band,upper,stretch,"triceps, biceps, chest","Bench Press Rotation: Setup — Use resistance band. Focus on stretch movement for upper. Engage triceps, biceps, chest. Control breathing."
66,Tall-Kneeling Pull-Up March,warm-up,resistance band,core,hold,"obliques, lower back, abs","Tall-Kneeling Pull-Up March: Setup — Use resistance band. Focus on hold movement for core. Engage obliques, lower back, abs. Control breathing."
67,Explosive Leg Press,mobility,resistance band,upper,hold,"biceps, chest, lats","Explosive Leg Press: Setup — Use resistance band. Focus on hold movement for upper. Engage biceps, chest, lats. Control breathing."
68,Front Raise Reach,strength,dip belt,full body,hold,"chest, back, core","Front Raise Reach: Setup — Use dip belt. Focus on hold movement for full body. Engage chest, back, core. Control breathing."
69,Running Combo,mobility,smith machine,upper,stretch,"triceps, lats, traps","Running Combo: Setup — Use smith machine. Focus on stretch movement for upper. Engage triceps, lats, traps. Control breathing."
70,Seated Deadlift,cardio,kettlebells,lower,push,"quads, glutes, hamstrings","Seated Deadlift: Setup — Use kettlebells. Focus on push movement for lower. Engage quads, glutes, hamstrings. Control breathing."
71,Calf Raise Hold,strength,barbells,lower,push,"calves, quads, hamstrings","Calf Raise Hold: Setup — Use barbells. Focus on push movement for lower. Engage calves, quads, hamstrings. Control breathing."
72,Lat Pulldown Series,cardio,pull-up bar,upper,stretch,"traps, forearms, chest","Lat Pulldown Series: Setup — Use pull-up bar. Focus on stretch movement for upper. Engage traps, forearms, chest. Control breathing."
73,Jumping Jack Iso,warm-up,barbells,full body,push,"legs, back, core","Jumping Jack Iso: Setup — Use barbells. Focus on push movement for full body. Engage legs, back, core. Control breathing."
74,Plank Variation,mobility,smith machine,full body,push,"core, back, legs","Plank Variation: Setup — Use smith machine. Focus on push movement for full body. Engage core, back, legs. Control breathing."
75,Wide-Grip Burpee,mobility,assisted machine,upper,stretch,"biceps, chest, triceps","Wide-Grip Burpee: Setup — Use assisted machine. Focus on stretch movement for upper. Engage biceps, chest, triceps. Control breathing."
76,Tempo Deadlift Reach,warm-up,dumbbells,upper,stretch,"deltoids, biceps, triceps","Tempo Deadlift Reach: Setup — Use dumbbells. Focus on stretch movement for upper. Engage deltoids, biceps, triceps. Control breathing."
77,Calf Raise Twist,mobility,dumbbells,full body,pull,"back, core, chest","Calf Raise Twist: Setup — Use dumbbells. Focus on pull movement for full body. Engage back, core, chest. Control breathing."
78,Static Bicep Curl,mobility,bike,full body,pull,"core, legs, chest","Static Bicep Curl: Setup — Use bike. Focus on pull movement for full body. Engage core, legs, chest. Control breathing."
79,Chest Fly Raise,strength,resistance band,full body,push,"legs, chest, back","Chest Fly Raise: Setup — Use resistance band. Focus on push movement for full body. Engage legs, chest, back. Control breathing."
80,Close-Grip Running Variation,cardio,bodyweight,upper,push,"triceps, forearms, traps","Close-Grip Running Variation: Setup — Use bodyweight. Focus on push movement for upper. Engage triceps, forearms, traps. Control breathing."
81,Jumping Jack March,cardio,bike,lower,hold,"calves, glutes, quads","Jumping Jack March: Setup — Use bike. Focus on hold movement for lower. Engage calves, glutes, quads. Control breathing."
82,Tempo Pull-Up Combo,cardio,rings,lower,stretch,"hamstrings, calves, quads","Tempo Pull-Up Combo: Setup — Use rings. Focus on stretch movement for lower. Engage hamstrings, calves, quads. Control breathing."
83,Plank,mobility,assisted machine,core,push,"abs, lower back, obliques","Plank: Setup — Use assisted machine. Focus on push movement for core. Engage abs, lower back, obliques. Control breathing."
84,Glute Bridge,cardio,dumbbells,lower,push,"hamstrings, quads, calves","Glute Bridge: Setup — Use dumbbells. Focus on push movement for lower. Engage hamstrings, quads, calves. Control breathing."
85,Hip Thrust Variation,cardio,barbells,core,pull,"abs, obliques, lower back","Hip Thrust Variation: Setup — Use barbells. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
86,Jumping Jack,cardio,rower,lower,hold,"glutes, calves, quads","Jumping Jack: Setup — Use rower. Focus on hold movement for lower. Engage glutes, calves, quads. Control breathing."
87,Tempo Glute Bridge Rotation,mobility,bike,upper,stretch,"biceps, triceps, deltoids","Tempo Glute Bridge Rotation: Setup — Use bike. Focus on stretch movement for upper. Engage biceps, triceps, deltoids. Control breathing."
88,Paused Side Plank Combo,mobility,kettlebells,full body,stretch,"legs, chest, core","Paused Side Plank Combo: Setup — Use kettlebells. Focus on stretch movement for full body. Engage legs, chest, core. Control breathing."
89,Incline Jump Rope Hold,warm-up,treadmill,full body,pull,"core, chest, back","Incline Jump Rope Hold: Setup — Use treadmill. Focus on pull movement for full body. Engage core, chest, back. Control breathing."
90,Incline Hip Thrust,warm-up,cable machine,full body,stretch,"chest, legs, back","Incline Hip Thrust: Setup — Use cable machine. Focus on stretch movement for full body. Engage chest, legs, back. Control breathing."
91,Tempo Running,strength,smith machine,core,hold,"abs, obliques, lower back","Tempo Running: Setup — Use smith machine. Focus on hold movement for core. Engage abs, obliques, lower back. Control breathing."
92,Copenhagen Front Raise Iso,strength,pull-up bar,upper,pull,"forearms, traps, chest","Copenhagen Front Raise Iso: Setup — Use pull-up bar. Focus on pull movement for upper. Engage forearms, traps, chest. Control breathing."
93,Seated Lateral Raise Series,mobility,assisted machine,upper,pull,"forearms, deltoids, chest","Seated Lateral Raise Series: Setup — Use assisted machine. Focus on pull movement for upper. Engage forearms, deltoids, chest. Control breathing."
94,Tall-Kneeling Farmer Carry,cardio,rower,core,push,"obliques, lower back, abs","Tall-Kneeling Farmer Carry: Setup — Use rower. Focus on push movement for core. Engage obliques, lower back, abs. Control breathing."
95,Step-Up Twist,strength,rower,upper,hold,"deltoids, biceps, traps","Step-Up Twist: Setup — Use rower. Focus on hold movement for upper. Engage deltoids, biceps, traps. Control breathing."
96,Wide-Grip Bench Press,warm-up,dip belt,lower,stretch,"hamstrings, quads, calves","Wide-Grip Bench Press: Setup — Use dip belt. Focus on stretch movement for lower. Engage hamstrings, quads, calves. Control breathing."
97,Pull-Up,strength,bike,full body,stretch,"back, legs, core","Pull-Up: Setup — Use bike. Focus on stretch movement for full body. Engage back, legs, core. Control breathing."
98,Tempo Row,mobility,bike,full body,push,"core, legs, chest","Tempo Row: Setup — Use bike. Focus on push movement for full body. Engage core, legs, chest. Control breathing."
99,Tempo Burpee,cardio,jump rope,full body,push,"legs, core, chest","Tempo Burpee: Setup — Use jump rope. Focus on push movement for full body. Engage legs, core, chest. Control breathing."
100,Isometric Glute Bridge,strength,bodyweight,core,pull,"obliques, lower back, abs","Isometric Glute Bridge: Setup — Use bodyweight. Focus on pull movement for core. Engage obliques, lower back, abs. Control breathing."
101,Explosive Row Combo,mobility,smith machine,upper,stretch,"forearms, triceps, lats","Explosive Row Combo: Setup — Use smith machine. Focus on stretch movement for upper. Engage forearms, triceps, lats. Control breathing."
102,Copenhagen Running Hold,strength,dumbbells,core,hold,"obliques, lower back, abs","Copenhagen Running Hold: Setup — Use dumbbells. Focus on hold movement for core. Engage obliques, lower back, abs. Control breathing."
103,Tempo Squat Pulse,strength,treadmill,core,pull,"obliques, lower back, abs","Tempo Squat Pulse: Setup — Use treadmill. Focus on pull movement for core. Engage obliques, lower back, abs. Control breathing."
104,Face Pull,cardio,kettlebells,full body,pull,"back, legs, core","Face Pull: Setup — Use kettlebells. Focus on pull movement for full body. Engage back, legs, core. Control breathing."
105,Isometric Jump Rope,strength,assisted machine,core,pull,"abs, obliques, lower back","Isometric Jump Rope: Setup — Use assisted machine. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
106,Explosive Push-Up,cardio,bike,lower,hold,"quads, glutes, hamstrings","Explosive Push-Up: Setup — Use bike. Focus on hold movement for lower. Engage quads, glutes, hamstrings. Control breathing."
107,Farmer Carry Series,warm-up,pull-up bar,lower,hold,"quads, calves, hamstrings","Farmer Carry Series: Setup — Use pull-up bar. Focus on hold movement for lower. Engage quads, calves, hamstrings. Control breathing."
108,B-Stance Front Raise Pulse,strength,bodyweight,upper,pull,"lats, traps, deltoids","B-Stance Front Raise Pulse: Setup — Use bodyweight. Focus on pull movement for upper. Engage lats, traps, deltoids. Control breathing."
109,Decline Cycling Twist,strength,smith machine,core,pull,"obliques, lower back, abs","Decline Cycling Twist: Setup — Use smith machine. Focus on pull movement for core. Engage obliques, lower back, abs. Control breathing."
110,Rotational Glute Bridge,strength,barbells,full body,stretch,"legs, chest, back","Rotational Glute Bridge: Setup — Use barbells. Focus on stretch movement for full body. Engage legs, chest, back. Control breathing."
111,Dynamic Pull-Up,cardio,bodyweight,upper,pull,"triceps, biceps, deltoids","Dynamic Pull-Up: Setup — Use bodyweight. Focus on pull movement for upper. Engage triceps, biceps, deltoids. Control breathing."
112,Tempo Cycling,strength,barbells,upper,push,"forearms, traps, chest","Tempo Cycling: Setup — Use barbells. Focus on push movement for upper. Engage forearms, traps, chest. Control breathing."
113,Single-Leg Leg Press Variation,mobility,dumbbells,lower,stretch,"quads, calves, hamstrings","Single-Leg Leg Press Variation: Setup — Use dumbbells. Focus on stretch movement for lower. Engage quads, calves, hamstrings. Control breathing."
114,Rotational Row,cardio,smith machine,full body,pull,"back, core, chest","Rotational Row: Setup — Use smith machine. Focus on pull movement for full body. Engage back, core, chest. Control breathing."
115,Chest Fly,cardio,jump rope,lower,stretch,"quads, hamstrings, glutes","Chest Fly: Setup — Use jump rope. Focus on stretch movement for lower. Engage quads, hamstrings, glutes. Control breathing."
116,Half-Kneeling Hip Thrust,mobility,kettlebells,lower,pull,"glutes, calves, quads","Half-Kneeling Hip Thrust: Setup — Use kettlebells. Focus on pull movement for lower. Engage glutes, calves, quads. Control breathing."
117,Isometric Running,strength,resistance band,upper,pull,"lats, chest, biceps","Isometric Running: Setup — Use resistance band. Focus on pull movement for upper. Engage lats, chest, biceps. Control breathing."
118,Tempo Lat Pulldown,strength,dip belt,full body,hold,"legs, back, core","Tempo Lat Pulldown: Setup — Use dip belt. Focus on hold movement for full body. Engage legs, back, core. Control breathing."
119,Bench Press Combo,mobility,cable machine,core,stretch,"abs, obliques, lower back","Bench Press Combo: Setup — Use cable machine. Focus on stretch movement for core. Engage abs, obliques, lower back. Control breathing."
120,Chin-Up Rotation,cardio,barbells,core,stretch,"lower back, abs, obliques","Chin-Up Rotation: Setup — Use barbells. Focus on stretch movement for core. Engage lower back, abs, obliques. Control breathing."
121,Lateral Raise,warm-up,dumbbells,core,stretch,"abs, obliques, lower back","Lateral Raise: Setup — Use dumbbells. Focus on stretch movement for core. Engage abs, obliques, lower back. Control breathing."
122,Paused Rowing,mobility,dumbbells,full body,pull,"chest, back, core","Paused Rowing: Setup — Use dumbbells. Focus on pull movement for full body. Engage chest, back, core. Control breathing."
123,Burpee,warm-up,rings,full body,stretch,"legs, chest, core","Burpee: Setup — Use rings. Focus on stretch movement for full body. Engage legs, chest, core. Control breathing."
124,Pull-Up Variation,strength,treadmill,upper,hold,"forearms, chest, traps","Pull-Up Variation: Setup — Use treadmill. Focus on hold movement for upper. Engage forearms, chest, traps. Control breathing."
125,Tempo Lat Pulldown Rotation,cardio,barbells,core,pull,"abs, obliques, lower back","Tempo Lat Pulldown Rotation: Setup — Use barbells. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
126,Deficit Dips,warm-up,treadmill,lower,hold,"hamstrings, glutes, calves","Deficit Dips: Setup — Use treadmill. Focus on hold movement for lower. Engage hamstrings, glutes, calves. Control breathing."
127,Incline Bench Press,mobility,pull-up bar,core,hold,"lower back, obliques, abs","Incline Bench Press: Setup — Use pull-up bar. Focus on hold movement for core. Engage lower back, obliques, abs. Control breathing."
128,Static Calf Raise Reach,mobility,dumbbells,upper,push,"deltoids, chest, forearms","Static Calf Raise Reach: Setup — Use dumbbells. Focus on push movement for upper. Engage deltoids, chest, forearms. Control breathing."
129,Tall-Kneeling Deadlift,mobility,bike,upper,hold,"triceps, forearms, traps","Tall-Kneeling Deadlift: Setup — Use bike. Focus on hold movement for upper. Engage triceps, forearms, traps. Control breathing."
130,Feet-Elevated Farmer Carry,warm-up,dip belt,upper,push,"lats, biceps, triceps","Feet-Elevated Farmer Carry: Setup — Use dip belt. Focus on push movement for upper. Engage lats, biceps, triceps. Control breathing."
131,Standing Tricep Extension Twist,cardio,treadmill,upper,pull,"traps, biceps, forearms","Standing Tricep Extension Twist: Setup — Use treadmill. Focus on pull movement for upper. Engage traps, biceps, forearms. Control breathing."
132,Squat Iso,warm-up,bike,core,stretch,"abs, obliques, lower back","Squat Iso: Setup — Use bike. Focus on stretch movement for core. Engage abs, obliques, lower back. Control breathing."
133,Tricep Extension,warm-up,assisted machine,core,push,"obliques, lower back, abs","Tricep Extension: Setup — Use assisted machine. Focus on push movement for core. Engage obliques, lower back, abs. Control breathing."
134,Wide-Grip Jump Rope,strength,jump rope,lower,stretch,"calves, hamstrings, glutes","Wide-Grip Jump Rope: Setup — Use jump rope. Focus on stretch movement for lower. Engage calves, hamstrings, glutes. Control breathing."
135,Overhead Press Variation,warm-up,bike,full body,hold,"core, back, chest","Overhead Press Variation: Setup — Use bike. Focus on hold movement for full body. Engage core, back, chest. Control breathing."
136,Lateral Raise Variation,mobility,rings,upper,stretch,"triceps, lats, biceps","Lateral Raise Variation: Setup — Use rings. Focus on stretch movement for upper. Engage triceps, lats, biceps. Control breathing."
137,Copenhagen Lunge Variation,cardio,rower,core,push,"abs, lower back, obliques","Copenhagen Lunge Variation: Setup — Use rower. Focus on push movement for core. Engage abs, lower back, obliques. Control breathing."
138,Paused Jump Rope Raise,warm-up,dumbbells,upper,pull,"lats, biceps, triceps","Paused Jump Rope Raise: Setup — Use dumbbells. Focus on pull movement for upper. Engage lats, biceps, triceps. Control breathing."
139,Step-Up Hold,warm-up,kettlebells,lower,hold,"quads, calves, glutes","Step-Up Hold: Setup — Use kettlebells. Focus on hold movement for lower. Engage quads, calves, glutes. Control breathing."
140,Row Combo,cardio,dumbbells,full body,push,"back, core, chest","Row Combo: Setup — Use dumbbells. Focus on push movement for full body. Engage back, core, chest. Control breathing."
141,Single-Leg Mountain Climber Twist,strength,cable machine,full body,push,"legs, core, chest","Single-Leg Mountain Climber Twist: Setup — Use cable machine. Focus on push movement for full body. Engage legs, core, chest. Control breathing."
142,Dynamic Bench Press Rotation,warm-up,resistance band,upper,push,"deltoids, lats, forearms","Dynamic Bench Press Rotation: Setup — Use resistance band. Focus on push movement for upper. Engage deltoids, lats, forearms. Control breathing."
143,Isometric Side Plank,warm-up,kettlebells,core,hold,"obliques, abs, lower back","Isometric Side Plank: Setup — Use kettlebells. Focus on hold movement for core. Engage obliques, abs, lower back. Control breathing."
144,Hip Thrust Hold,strength,smith machine,core,push,"lower back, obliques, abs","Hip Thrust Hold: Setup — Use smith machine. Focus on push movement for core. Engage lower back, obliques, abs. Control breathing."
145,Isometric Farmer Carry Hold,warm-up,bodyweight,upper,stretch,"deltoids, traps, chest","Isometric Farmer Carry Hold: Setup — Use bodyweight. Focus on stretch movement for upper. Engage deltoids, traps, chest. Control breathing."
146,Feet-Elevated Deadlift Combo,strength,dip belt,core,push,"abs, obliques, lower back","Feet-Elevated Deadlift Combo: Setup — Use dip belt. Focus on push movement for core. Engage abs, obliques, lower back. Control breathing."
147,Mountain Climber March,mobility,smith machine,upper,pull,"deltoids, biceps, traps","Mountain Climber March: Setup — Use smith machine. Focus on pull movement for upper. Engage deltoids, biceps, traps. Control breathing."
148,Incline Pull-Up Series,warm-up,bike,core,pull,"abs, obliques, lower back","Incline Pull-Up Series: Setup — Use bike. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
149,Leg Press,cardio,barbells,full body,push,"legs, back, chest","Leg Press: Setup — Use barbells. Focus on push movement for full body. Engage legs, back, chest. Control breathing."
150,Side Plank,mobility,smith machine,upper,hold,"deltoids, triceps, forearms","Side Plank: Setup — Use smith machine. Focus on hold movement for upper. Engage deltoids, triceps, forearms. Control breathing."
